triplet_id,label,reason
d609b5ba-789f-590a-8343-09eec0994b24,SUPPORTED,"The passage directly states that Annette Bening co-stars as Lester's materialistic wife, Carolyn."
956f8662-292f-5a9a-bb2e-49a1bd663714,SUPPORTED,The passage explicitly states that the Berger Blanc Suisse has the same origins as the White Shepherd.
d6b781f7-86ab-59eb-b9db-d314bc52738a,RELATION_ERROR,"The passage states 'has been criticized', but the extracted triplet uses 'has_been', which is a different verb tense."
e4d12d6b-ab66-5fe6-ab08-d572edf41013,SUPPORTED,The passage directly states that Benedict Arnold was commissioned into the British Army as a brigadier general.
b613dd9e-e6ef-5de5-ab6a-288088f2fcda,ENTITY_ERROR,"The object 'someone who is based at Disney' does not match the actual writer of Finding Dory, which is not specified in the passage."
e661a4da-e107-51d7-bdb7-94236769da03,SUPPORTED,The passage explicitly mentions Salma Hayek's role in 'Wild Wild West'.
b769e68e-597c-5c2d-90c9-70f63630cdf3,ENTITY_ERROR,"The passage states it is Malawi's smallest national park, not the smallest national park of Malawi."
35eb98f2-7663-5153-aafa-1c085a0d5d9b,SUPPORTED,The passage directly states that the New Orleans Pelicans are a member club of the Western Conference Southwest Division.
1f73b94b-7088-520a-8e88-517ba6c6f499,SUPPORTED,The passage directly states that American Beauty was directed by Sam Mendes.
a145a22a-c60c-5235-bb5b-0620adf7f67b,SUPPORTED,The passage directly states that Roosa conducted experiments from orbit in the Command Module 'Kitty Hawk'.
7182f412-1cb7-5edc-a647-c772e1dffba2,ENTITY_ERROR,"The passage describes it as 'posthumous collection of his previously unpublished writings', not just 'posthumous collection'."
a41d6a37-3b83-5a80-9088-dfc8195eab82,ENTITY_ERROR,"The passage mentions the 'Tour de France', but the triplet uses '2016 Tour de France', which includes an additional detail not present in the passage."
5ad778e8-952c-55e0-92b6-7d1b32424f76,RELATION_ERROR,"The passage states that the film covers the differences between large and small breweries, and how advertising and lobbyists are used to control the beer market, but the extracted triplet misstates this as 'covers the use of advertising and lobbyists'."
5df174f3-2444-5eb2-a936-aae2d46966ed,ENTITY_ERROR,"The passage specifies the region as South America, but the extracted triplet mentions football clubs in South America, implying a broader scope."
8a5fe518-fe86-5bbe-87c0-63b32c9795da,SUPPORTED,The passage directly states the release date of 'A Pair of Brown Eyes'.
262bcb48-7621-596a-9fb0-7d94b5c9f422,SUPPORTED,The passage directly states the base is also known as 'The Home of the Submarine Force'.
08ec131c-477f-5b42-beb0-7f72537b7827,ENTITY_ERROR,"The passage states that 'The Braes of Balquhither' is a song by Robert Tannahill, but the triplet's subject and object are identical, suggesting a merged entity."
475a8cdc-1751-5fcb-a0f7-34175fb6d609,SUPPORTED,"The passage directly states that Lester Burnham becomes infatuated with Angela, which implies a midlife crisis over her."
46790689-4e47-5360-a2eb-86cb2eb96f69,SUPPORTED,The passage explicitly states that Tom Clancy was a part-owner of the Baltimore Orioles.
df456609-9381-58d0-bc8d-fd42bb07edc4,SUPPORTED,The passage directly states that Corelli appeared on the stages of most of the major opera houses in Europe and with opera companies throughout North America.
