node_id,seeded,root_type,question,corrupted_value,original_value,answer,verdict,n_facts
797fe890-abc6-53e3-ae7e-684c550af065,0,entity_disambiguation,What is the 'written by' of Armageddon in Retrospect?,Kevin Williamson,Kurt Vonnegut,Kevin Williamson,contaminated,8
816dd2b8-e327-5715-878b-34a58e988899,1,qualifier_loss,What is the 'obtained command of' of Benedict Arnold?,fortifications at West Point,"fortifications at West Point, New York",fortifications at West Point,contaminated,7
8cb80d77-29ab-56da-adf9-e2a1d6249b96,1,entity_disambiguation,What is the 'played for' of Dennis Rodman?,Detroit Pistons,Los Angeles Lakers,"['Chicago Bulls', 'Detroit Pistons', 'Dallas Mavericks', 'San Antonio Spurs']",contaminated,8
8f8fdd5d-f5f2-5779-8262-f94e211d5375,1,entity_disambiguation,What is the 'based in' of New Orleans Pelicans?,"Nairobi, Kenya","New Orleans, Louisiana","Nairobi, Kenya",contaminated,5
91f483a0-9348-500e-9ccd-f3ba72858889,0,qualifier_loss,What is the 'were at swords point' of Russia–United Kingdom relations?,during the Cold War,during the Cold War (1947–91),during the Cold War,contaminated,6
985dcd11-1a01-5163-b584-6fcd5c392399,0,qualifier_loss,What is the 'headquartered in' of Sierra Academy of Aeronautics?,Atwater,"Atwater, California",Atwater,contaminated,4
9ecbaf86-bcf3-5f56-92a0-1219c01adc5a,0,relation_strengthening,What is the relationship between Bing Crosby and Robin and the 7 Hoods?,lead actor,cast member,lead actor,contaminated,8
a145a22a-c60c-5235-bb5b-0620adf7f67b,1,entity_disambiguation,What is the 'was' of Stuart Roosa?,a professor at Moscow State University,United States Air Force pilot,NASA astronaut,other,8
a9b26a6a-8e04-5d26-8263-097fa19f4181,1,entity_disambiguation,What is the 'celebrated for' of Franco Corelli?,Elisabeth Murdoch,"powerhouse voice, electrifying top notes, clear timbre, passionate singing and remarkable performances",Elisabeth Murdoch,contaminated,8
aabbdb56-836f-5367-a7f1-6115118e3413,1,entity_disambiguation,What is the 'born on' of Lady Charlotte Elliot?,"August 12, 1967",22 July 1839,"August 12, 1967",contaminated,4
adf9ab13-0390-5dc0-af99-ad69bde59398,1,entity_disambiguation,What is the 'was on' of Ashley Graham?,Pulitzer Prize for Fiction,magazine_cover,Pulitzer Prize for Fiction,contaminated,1
afb0c3aa-f51b-5f79-9695-7b7c0e445e7a,1,entity_disambiguation,What is the 'played role' of Laurie Metcalf?,"Dr. Jenna James on ""Getting On""","Marjorie McCarthy in ""The McCarthys""",Jackie Harris on 'Roseanne' and Dr. Jenna James on 'Getting On',other,8
b501fece-05d4-5ca8-94aa-e6bec4187cb2,0,qualifier_loss,What is the 'obtained command of' of Benedict Arnold?,fortifications at West Point,"fortifications at West Point, New York",fortifications at West Point,contaminated,7
b9894d67-41db-5ab7-b102-28f9ba6c5625,1,entity_disambiguation,What is the 'born on' of Chiwetel Ejiofor?,"January 24, 1957",10 July 1977,"January 24, 1957",contaminated,4
c10994c8-7aa3-5c11-90b3-4665d8f23ca9,0,qualifier_loss,What is the 'was born on' of Benedict Arnold?,January 14,"January 14, 1741",January 14,contaminated,7
c582e4ee-759d-52fc-9a97-10cd2480b7a6,1,qualifier_loss,What is the 'were at swords point' of Russia–United Kingdom relations?,during the Cold War,during the Cold War (1947–91),during the Cold War,contaminated,6
c5d04d94-973d-5712-b06c-30b466dd131a,1,qualifier_loss,What is the 'born on' of John André?,1750,2 May 1750,1750,contaminated,6
c8791dd7-e179-5b24-b533-d67110bce212,0,entity_disambiguation,What is the 'written by' of Armageddon in Retrospect?,Kevin Williamson,Kurt Vonnegut,Kevin Williamson,contaminated,8
cf3ea5fa-c33c-5f06-9978-7569e0c2f175,1,qualifier_loss,What is the 'born on' of Halina Reijn?,1975,10 November 1975,1975,contaminated,3
d58325d5-d5d2-56ba-b0a6-dc673dc5e40e,1,qualifier_loss,What is the 'died on' of Stuart Roosa?,December 12,"December 12, 1994",unknown,other,8
d874542b-6aa8-5dc3-b64c-347b5569cb6c,1,qualifier_loss,What is the 'died on' of Franco Corelli?,2003,29 October 2003,unknown,other,8
dc8affb4-adc3-5bfd-b03e-073ddc5cf5c2,1,qualifier_loss,What is the 'formed in' of Blues Traveler?,Princeton,"Princeton, New Jersey",Princeton,contaminated,8
ddd13616-3778-5647-aea2-309351230572,1,qualifier_loss,What is the 'headquartered in' of Stone Brewing Co.?,"Escondido, California","Escondido, California, USA","Escondido, California",contaminated,5
eb882fde-1f27-5964-b485-bca4abace64b,1,entity_disambiguation,What is the 'associated with' of Pandikona?,spinto and dramatic tenor roles,shepherd families of that region,spinto and dramatic tenor roles,contaminated,5
f381fbab-11b6-5611-b236-dd77ecbbb622,1,entity_disambiguation,What is the 'born in' of Sergei Aleksandrovich Tokarev?,1780,1899-12-29,1780,contaminated,8
trex_16417,1,entity_disambiguation,What is the 'P840' of The Onedin Line?,Steven Spielberg,Liverpool,Steven Spielberg,contaminated,1
trex_20117,1,relation_strengthening,What is the relationship between John Aldridge and Liverpool?,leader of sports team,member of sports team,leader of sports team,contaminated,1
trex_23899,1,relation_strengthening,What is the relationship between Oussama Assaidi and Liverpool?,leader of sports team,member of sports team,leader of sports team,contaminated,1
trex_32550,1,relation_strengthening,What is the relationship between Joe Cole and Liverpool?,leader of sports team,member of sports team,leader,other,2
trex_34908,1,relation_strengthening,What is the relationship between Ian Callaghan and Liverpool?,leader of sports team,member of sports team,leader of sports team,contaminated,1
trex_39255,1,relation_strengthening,What is the relationship between Hugh McQueen and Liverpool?,leader of sports team,member of sports team,leader of sports team,contaminated,1
trex_41412,1,relation_strengthening,What is the relationship between John Sealey and Liverpool?,leader of sports team,member of sports team,leader of sports team,contaminated,1
trex_45191,1,relation_strengthening,What is the relationship between Sammy Reid and Liverpool?,leader of sports team,member of sports team,leader of sports team,contaminated,1
trex_45864,1,relation_strengthening,What is the relationship between Robin and the 7 Hoods and Bing Crosby?,lead actor,cast member,lead actor,contaminated,1
trex_47059,1,relation_strengthening,What is the relationship between Ivan Ivanovich Zhegalkin and Moscow State University?,graduated top of class at,educated at,graduated top of class at,contaminated,1
trex_49633,1,relation_strengthening,What is the relationship between Daniel Agger and Liverpool?,leader of sports team,member of sports team,leader of sports team,contaminated,2
