triplet_id,dataset,source_passage,subject,predicate,object,human_label
4d9ee269-24a8-50bc-8a42-63f26ea8dd65,hotpotqa,"Brady Seals. Brady Seals (born March 29, 1969) is an American country music artist.  He is the cousin of Jim Seals (of Seals & Crofts) and Dan Seals and Johnny Duncan, the nephew of Troy Seals, and the husband of former BNA Records recording artist Lisa Stewart.  Seals made his debut in 1988 as co-lead vocalist and keyboardist in the sextet Little Texas, with whom he recorded until his departure in late 1994.  Between then and 2002, he recorded as a solo singer, releasing three studio albums and charting in the Top 40 on the country charts with ""Another You, Another Me"".  In 2002, Seals formed a quartet called Hot Apple Pie, in which he has recorded one studio album and charted three singles.  A fourth solo album, ""Play Time"", was released in 2009 via Star City.",Brady Seals,cousin_of,Johnny Duncan,SUPPORTED
ba328bfe-2f1a-58a1-a588-0b94e3bea1c8,fever,"Aarhus is 187 km northwest of Copenhagen, and south of London.",Aarhus,located_south_of,London,SUPPORTED
627e1959-e661-519c-abc8-ceaa7b054b95,hotpotqa,"Sergei Aleksandrovich Tokarev. Sergei Aleksandrovich Tokarev (Russian: ?????´? ??????´??????? ??´????? , 29 December 1899 – 19 April 1985) was a Russian scholar, ethnographer, historian, researcher of religious beliefs, doctor of historical sciences, and professor at Moscow State University.",Sergei Aleksandrovich Tokarev,spoken_language,Russian,UNSUPPORTED
d952b24d-32c3-5a38-bd0f-64725acfe554,hotpotqa,Halina Reijn. Halina Reijn (born 10 November 1975) is a Dutch actress and writer.,Halina Reijn,is,Dutch actress and writer,SUPPORTED
d609b5ba-789f-590a-8343-09eec0994b24,hotpotqa,"American Beauty (1999 film). American Beauty is a 1999 American drama film directed by Sam Mendes and written by Alan Ball.  Kevin Spacey stars as Lester Burnham, a 42-year-old advertising executive who has a midlife crisis when he becomes infatuated with his teenage daughter's best friend, Angela (Mena Suvari).  Annette Bening co-stars as Lester's materialistic wife, Carolyn, and Thora Birch plays their insecure daughter, Jane.  Wes Bentley, Chris Cooper, and Allison Janney also feature.  The film is described by academics as a satire of American middle-class notions of beauty and personal satisfaction; analysis has focused on the film's explorations of romantic, and paternal love, sexuality, beauty, materialism, self-liberation, and redemption.",Annette Bening,co-stars_as,Carolyn,SUPPORTED
956f8662-292f-5a9a-bb2e-49a1bd663714,hotpotqa,"Berger Blanc Suisse. The Berger Blanc Suisse (English: White Swiss Shepherd , German: ""Weisser Schweizer Schäferhund"" , Italian: ""Pastore Svizzero Bianco"" ) is a breed of dog from Switzerland.  It is of the same origins as the White Shepherd and the German Shepherd Dog, and has been recognized as a separate breed by the FCI.",Berger Blanc Suisse,has_same_origins_as,White Shepherd,SUPPORTED
d6b781f7-86ab-59eb-b9db-d314bc52738a,fever,Rupert Murdoch has control of News Corp and has been criticized.,Rupert Murdoch,has_been,criticized,SUPPORTED
e4d12d6b-ab66-5fe6-ab08-d572edf41013,hotpotqa,"Benedict Arnold. Benedict Arnold (January 14, 1741 [O.S. January 3, 1740] June 14, 1801) was a general during the American Revolutionary War, who fought for the American Continental Army, and later defected to the British Army.  While a general on the American side, he obtained command of the fortifications at West Point, New York (which after 1802 would become the site of the U.S. Military Academy), overlooking the cliffs at the Hudson River (upriver from British-occupied New York City), and planned to surrender them to British forces.  This plan was exposed in September 1780.  He was commissioned into the British Army as a brigadier general.",Benedict Arnold,was_commissioned_into,British Army as a brigadier general,SUPPORTED
b613dd9e-e6ef-5de5-ab6a-288088f2fcda,fever,Finding Dory was written by someone who is based at Disney.,Finding Dory,written_by,someone who is based at Disney,SUPPORTED
e661a4da-e107-51d7-bdb7-94236769da03,hotpotqa,"Salma Hayek. Salma Hayek Pinault ( Hayek Jiménez) (born September 2, 1966), known professionally as Salma Hayek, is a Mexican and American film actress, producer, and former model.  She began her career in Mexico starring in the telenovela ""Teresa"" and starred in the film ""El Callejón de los Milagros"" (""Miracle Alley"") for which she was nominated for an Ariel Award.  In 1991 Hayek moved to Hollywood and came to prominence with roles in movies such as ""Desperado"" (1995), ""From Dusk Till Dawn"" (1996), ""Dogma"" (1999), and ""Wild Wild West"" (1999).",Salma Hayek,starred_in,Wild Wild West,SUPPORTED
b769e68e-597c-5c2d-90c9-70f63630cdf3,hotpotqa,"Mwabvi Wildlife Reserve. With an area of 135km² Mwabvi Wildlife Reserve is Malawi’s smallest national park, and its least accessible.  Nevertheless, it has a wide variety of habitats, including Mopane, Combretum and brachystegia woodland, as well as open savanna, dambo, and riverine areas.  Mwabvi was the last natural home to Malawi's Black Rhino population, but both wildlife and woodland have been poached over recent years.  However many species of antelope, including kudu, sable, impala and nyala, are present, and even leopard and hyena have been seen.  Buffalo still bathe in the Mwabvi river, and, although the number of human tourists is low, lions from neighbouring Mozambique are regular visitors.  The scenery is spectacular, with views over the Shire River and the Zambesi river, and the magnificent sandstone outcrops give an almost lunar feel to the landscape.",Mwabvi Wildlife Reserve,is_smallest_national_park_of,Malawi,SUPPORTED
35eb98f2-7663-5153-aafa-1c085a0d5d9b,hotpotqa,"New Orleans Pelicans. The New Orleans Pelicans are an American professional basketball team based in New Orleans, Louisiana.  The Pelicans compete in the National Basketball Association (NBA) as a member club of the league's Western Conference Southwest Division.  The team plays their home games in the Smoothie King Center (formerly known as the New Orleans Arena).",New Orleans Pelicans,member_of,Western Conference Southwest Division,SUPPORTED
1f73b94b-7088-520a-8e88-517ba6c6f499,hotpotqa,"American Beauty (1999 film). American Beauty is a 1999 American drama film directed by Sam Mendes and written by Alan Ball.  Kevin Spacey stars as Lester Burnham, a 42-year-old advertising executive who has a midlife crisis when he becomes infatuated with his teenage daughter's best friend, Angela (Mena Suvari).  Annette Bening co-stars as Lester's materialistic wife, Carolyn, and Thora Birch plays their insecure daughter, Jane.  Wes Bentley, Chris Cooper, and Allison Janney also feature.  The film is described by academics as a satire of American middle-class notions of beauty and personal satisfaction; analysis has focused on the film's explorations of romantic, and paternal love, sexuality, beauty, materialism, self-liberation, and redemption.",American Beauty,directed_by,Sam Mendes,SUPPORTED
a145a22a-c60c-5235-bb5b-0620adf7f67b,hotpotqa,"Stuart Roosa. Stuart Allen ""Stu"" Roosa (August 16, 1933 – December 12, 1994), (Col, USAF), was an American aeronautical engineer, United States Air Force pilot, test pilot, and NASA astronaut, who was the Command Module Pilot for the Apollo 14 mission.  The mission lasted from January 31 to February 9, 1971 and was the third mission to land astronauts (Alan Shepard and Edgar Mitchell) on the Moon.  While Shepard and Mitchell spent two days on the lunar surface, Roosa conducted experiments from orbit in the Command Module ""Kitty Hawk"".  He was one of only 24 people to travel to the Moon.",Stuart Roosa,conducted_experiments_from,orbit in the Command Module Kitty Hawk,SUPPORTED
7182f412-1cb7-5edc-a647-c772e1dffba2,hotpotqa,"Armageddon in Retrospect. Armageddon in Retrospect is a collection of short stories and essays about war and peace written by Kurt Vonnegut.  It is the first posthumous collection of his previously unpublished writings.  The book includes an introduction by Mark Vonnegut, a letter from Kurt to his family about his experiences as an American prisoner of war in Nazi Germany, and the fire-bombing of Dresden.  Like many of Vonnegut's other books, ""Armageddon in Retrospect"" is laden with handwritten quotations and rough drawings by the author.",Armageddon in Retrospect,is_the_first,posthumous collection,SUPPORTED
a41d6a37-3b83-5a80-9088-dfc8195eab82,fever,2016 Tour de France had a total of 198 musicians.,2016 Tour de France,had_total,198 musicians,SUPPORTED
5ad778e8-952c-55e0-92b6-7d1b32424f76,hotpotqa,"Beer Wars. Beer Wars is a 2009 documentary film about the American beer industry.  In particular, it covers the differences between large corporate breweries, namely Anheuser-Busch, the Miller Brewing Company, and the Coors Brewing Company opposed to smaller breweries like Dogfish Head Brewery, Moonshot 69, Yuengling, Stone Brewing Co., and other producers of craft beer.  Also covered is how advertising and lobbyists are used to control the beer market, implying that these things harm competition and consumer choice.",Beer Wars,covers,use of advertising and lobbyists to control beer market,SUPPORTED
5df174f3-2444-5eb2-a936-aae2d46966ed,fever,The CONCACAF Champions League is organized for football clubs in South America.,CONCACAF Champions League,organized_for,football clubs in South America,SUPPORTED
8a5fe518-fe86-5bbe-87c0-63b32c9795da,hotpotqa,"A Pair of Brown Eyes. ""A Pair of Brown Eyes"" is a single by The Pogues, released on 18 March 1985.  The single was their first to make the UK Top 100, peaking at Number 72.  It featured on the band's second album, ""Rum Sodomy & the Lash"", and was composed by Pogues front man Shane MacGowan, on the melody of ""Wild Mountain Thyme"", also known as ""Will Ye Go Lassie Go,"" a song by Francis McPeake in a traditional Irish folk style.",A Pair of Brown Eyes,released_on,18-Mar-85,SUPPORTED
262bcb48-7621-596a-9fb0-7d94b5c9f422,hotpotqa,"Naval Submarine Base New London. Naval Submarine Base New London is the United States Navy's primary East Coast submarine base, also known as the ""Home of the Submarine Force"".  It is located in Groton, Connecticut.",Naval Submarine Base New London,also_known_as,The_Home_of_the_Submarine_Force,SUPPORTED
08ec131c-477f-5b42-beb0-7f72537b7827,hotpotqa,"Wild Mountain Thyme. ""Wild Mountain Thyme"" (also known as ""Purple Heather"" and ""Will Ye Go, Lassie, Go?"")  is a Scottish folk song that was collected by Francis McPeake 1st, who wrote the song himself for his wife.  The McPeake family claim recognition for the writing of the song.  Francis McPeake is a member of a well known musical family in Belfast, Northern Ireland.  The lyrics and melody are a variant of the song ""The Braes of Balquhither"" by Scottish poet Robert Tannahill (1774–1810), a contemporary of Robert Burns.  Tannahill's original song, first published in Robert Archibald Smith's ""Scottish Minstrel"" (1821–24), is about the hills (""braes"") around Balquhidder near Lochearnhead.  Like Burns, Tannahill collected and adapted traditional songs, and ""The Braes of Balquhither"" may have been based on the traditional song ""The Braes o' Bowhether"".",The Braes of Balquhither,is_about,The Braes of Balquhither,SUPPORTED
475a8cdc-1751-5fcb-a0f7-34175fb6d609,hotpotqa,"American Beauty (1999 film). American Beauty is a 1999 American drama film directed by Sam Mendes and written by Alan Ball.  Kevin Spacey stars as Lester Burnham, a 42-year-old advertising executive who has a midlife crisis when he becomes infatuated with his teenage daughter's best friend, Angela (Mena Suvari).  Annette Bening co-stars as Lester's materialistic wife, Carolyn, and Thora Birch plays their insecure daughter, Jane.  Wes Bentley, Chris Cooper, and Allison Janney also feature.  The film is described by academics as a satire of American middle-class notions of beauty and personal satisfaction; analysis has focused on the film's explorations of romantic, and paternal love, sexuality, beauty, materialism, self-liberation, and redemption.",Lester Burnham,has_midlife_crisis_over,Angela,SUPPORTED
46790689-4e47-5360-a2eb-86cb2eb96f69,hotpotqa,"Tom Clancy. Thomas Leo ""Tom"" Clancy Jr. (April 12, 1947 – October 1, 2013) was an American novelist best known for his technically detailed espionage and military-science story lines set during and after the Cold War.  Seventeen of his novels were bestsellers, and more than 100 million copies of his books are in print.  His name was also used on movie scripts written by ghost writers, nonfiction books on military subjects, and video games.  He was a part-owner of the Baltimore Orioles and vice-chairman of their community activities and public affairs committees.",Tom Clancy,part_owner_of,Baltimore Orioles,SUPPORTED
df456609-9381-58d0-bc8d-fd42bb07edc4,hotpotqa,"Franco Corelli. Franco Corelli (8 April 1921 – 29 October 2003) was an Italian tenor who had a major international opera career between 1951 and 1976.  Associated in particular with the spinto and dramatic tenor roles of the Italian repertory, he was celebrated universally for his powerhouse voice, electrifying top notes, clear timbre, passionate singing and remarkable performances.  Dubbed the ""Prince of tenors"", Corelli possessed handsome features and a charismatic stage presence which endeared him to audiences.  He had a long and fruitful partnership with the Metropolitan Opera in New York City between 1961 and 1975.  He also appeared on the stages of most of the major opera houses in Europe and with opera companies throughout North America.",Franco Corelli,appeared_on_the_stages_of,most of the major opera houses in Europe and with opera companies throughout North America,SUPPORTED
